,X,phyla_ID,uf_id,family,taxon,genus,species,id_confidence,accession_ID,previous_numbers,station_number,continent_ocean,country_archipelago,primary_subdivision,secondary_subdivision,locality,localityToUse,latitude,longitude,newLat,newLong,fixatives,preservatives,collector,collection_method,year_collected,month_collected,day_collected,yr_coll_precision,month_coll_precision,day_coll_precision,habitat,microhabitat,depth,depth2,units,type_description,specimen_notes,on_loan,class_,address,gpslat,gpslong,formattedAddress
133,638,2,2690,Holothuriidae,Labidodemas semperianum,Labidodemas,semperianum,,0,,ZZZ-089848,Pacific Ocean,Northern Mariana Islands,,Rota Island,"W Coast, N of Santa Margarita, Galleon Excavation",,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,,,Holothuroidea,Northern+Mariana+Islands,15.0979,145.6739,Northern Mariana Islands
134,643,2,2716,Chiridotidae,Chiridota hawaiiensis,Chiridota,hawaiiensis,,0,,ZZZ-090443,Pacific Ocean,USA,Hawaiian Islands,Oahu Island,Black Point,Black Point,NA,NA,NA,NA,,95% ethanol,"Pittman, C.",algae wash,1999,10,3,0,0,0,,,1,NA,meters,NA,chance of contamination with formalin,,Holothuroidea,"Black+Point,USA",42.557844,-88.511089,"Black Point Historic Preserve, W4270 Southland Road, Lake Geneva, WI 53147, USA"
135,673,2,1805,Holothuriidae,Holothuria albiventer,Holothuria,albiventer,,0,,GP-Loc-600,Pacific Ocean,Palau,Babeldaob,,channel into Ngermeduu Estuary,,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,7,24,0,0,0,,,NA,NA,,NA,,,Holothuroidea,Palau,7.51498,134.58252,Palau
136,676,2,3148,Stichopodidae,Stichopus,Stichopus,,?,637,,LAK-232,Pacific Ocean,Tonga,Tonga Islands,Tongatapu,Lika'alofa Beach,Lika'alofa Beach,NA,NA,NA,NA,,75% ethanol,"Kirkendale, L.",,2004,6,13,0,0,0,shallow forereef,exposed on dead coral substrate,1,3,meters,NA,,,Holothuroidea,"Lika'alofa+Beach,Tonga",-21.0837543,-175.3378895,NA
137,677,2,3147,Holothuriidae,Actinopyga varians,Actinopyga,varians,,637,,LAK-234,Pacific Ocean,Tonga,Tonga Islands,Tongatapu,Atata Island,Atata Island,NA,NA,NA,NA,,75% ethanol,"Kirkendale, L.",,2004,6,14,0,0,0,sandy seagrass beach,shallowly buried in sand,1,2,meters,NA,,,Holothuroidea,"Atata+Island,Tonga",-21.0470307,-175.2528421,"Atata Island, Tonga"
138,678,2,5946,Holothuriidae,Holothuria difficilis,Holothuria,difficilis,,615,,LAK-240,Pacific Ocean,Tuvalu,Tuvalu Islands,Funafuti Atoll,"Lagoon Side, on Southernmost Tip of Funafuti",,NA,NA,NA,NA,,75% ethanol,Lisa Kirkendale,,2004,6,19,0,0,0,macroalgal covered rubble zone,under or on rocks,0.5,1,meters,NA,,,Holothuroidea,Tuvalu,-7.4784419,178.6799214,Tuvalu
139,689,2,3353,Sclerodactylidae,Neothyone gibber,Neothyone,gibber,,613,,LAK-318,Pacific Ocean,Panama,,,"off Naos Island, Smithsonian Tropical Research Institute Research Laboratories, Tabboo Pinnacle",Naos island,NA,NA,NA,NA,,95% ethanol,,,NA,NA,NA,NA,NA,NA,"on low visibility rocky, reefal pinnacle rising to",under or on granite rocks,5,15,meters,NA,,,Holothuroidea,"Naos+island,Panama",8.9145832,-79.5318911,"Naos Island, Panama"
140,709,2,3231,Holothuriidae,Holothuria atra,Holothuria,atra,,0,,ZZZ-090758,Pacific Ocean,Northern Mariana Islands,Mariana Islands,Saipan Island,American Memorial Park,American Memorial Park,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,2004,8,4,0,0,0,,,NA,NA,,NA,,,Holothuroidea,"American+Memorial+Park,Northern+Mariana+Islands",15.21679,145.720123,"American Memorial Park, Industrial Drive, Garapan, Saipan 96950, CNMI"
141,712,2,3230,Holothuriidae,Holothuria difficilis,Holothuria,difficilis,,0,,JAS-SAI-288,Pacific Ocean,Northern Mariana Islands,,Saipan Island,Tanapag Lagoon,Tanapag,NA,NA,NA,NA,80% ethanol,75% ethanol,"Starmer, J.",,2004,6,11,0,0,0,"Enhalus/Halodule, mix zone",sand/seagrass,0,1,meters,NA,,,Holothuroidea,"Tanapag,Northern+Mariana+Islands",15.2335831,145.7495044,"Tanapag, Saipan 96950, CNMI"
142,724,2,3229,Holothuriidae,Holothuria cinerascens,Holothuria,cinerascens,,0,,JAS-SAI-298,Pacific Ocean,Northern Mariana Islands,,Saipan Island,Unai Laggua,Unai Laggua Dr,NA,NA,NA,NA,,70% ethanol,"Starmer, J.",,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,,,Holothuroidea,"Unai+Laggua+Dr,Northern+Mariana+Islands",15.2728965,145.8195479,"Unai Laggua Dr, Saipan 96950, CNMI"
