,phyla_ID,uf_id,family,taxon,genus,species,id_confidence,accession_ID,previous_numbers,station_number,continent_ocean,country_archipelago,primary_subdivision,secondary_subdivision,locality,latitude,longitude,newLat,newLong,fixatives,preservatives,collector,collection_method,year_collected,month_collected,day_collected,yr_coll_precision,month_coll_precision,day_coll_precision,habitat,microhabitat,depth,depth2,units,type_description,specimen_notes,on_loan,class_
72,2,2355,Holothuriidae,Holothuria,Holothuria,,,0,,BNEC-015,Pacific Ocean,New Caledonia,New Caledonia,,"Baie de Prony, just on opposite side to a little N of Prony",-22.3596367,166.854799,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,24,0,0,0,fringing reef,,0,6,meters,,,,Holothuroidea
73,2,2005,Sclerodactylidae,Afrocucumis africana,Afrocucumis,africana,,594,,BNEC-001,Pacific Ocean,New Caledonia,New Caledonia,,"Noumea, Baie de Citron",-22.291226,166.4375086,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,1,0,0,0,fringing reef,sand,0.5,5,meters,,,,Holothuroidea
74,2,1963,Sclerodactylidae,Cladolabes acicula,Cladolabes,acicula,,594,,BNEC-001,Pacific Ocean,New Caledonia,New Caledonia,,"Noumea, Baie de Citron",-22.291226,166.4375086,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,1,0,0,0,fringing reef,sand,0.5,5,meters,,,,Holothuroidea
75,2,971,Holothuriidae,Actinopyga,Actinopyga,,,594,,BNEC-001,Pacific Ocean,New Caledonia,New Caledonia,,"Noumea, Baie de Citron",-22.291226,166.4375086,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,1,0,0,0,fringing reef,sand,0.5,5,meters,,,,Holothuroidea
76,2,980,Holothuriidae,Holothuria rigida,Holothuria,rigida,,594,,BNEC-001,Pacific Ocean,New Caledonia,New Caledonia,,"Noumea, Baie de Citron",-22.291226,166.4375086,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,1,0,0,0,fringing reef,sand,0.5,5,meters,,,,Holothuroidea
77,2,956,Holothuriidae,Bohadschia marmorata,Bohadschia,marmorata,,594,,BNEC-001,Pacific Ocean,New Caledonia,New Caledonia,,"Noumea, Baie de Citron",-22.291226,166.4375086,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,1,0,0,0,fringing reef,sand,0.5,5,meters,,,,Holothuroidea
78,2,961,Sclerodactylidae,Cladolabes acicula,Cladolabes,acicula,,594,,BNEC-001,Pacific Ocean,New Caledonia,New Caledonia,,"Noumea, Baie de Citron",-22.291226,166.4375086,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,1,0,0,0,fringing reef,sand,0.5,5,meters,,,,Holothuroidea
79,2,985,Holothuriidae,Holothuria,Holothuria,,,594,,BNEC-001,Pacific Ocean,New Caledonia,New Caledonia,,"Noumea, Baie de Citron",-22.291226,166.4375086,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,1,0,0,0,fringing reef,sand,0.5,5,meters,,,,Holothuroidea
80,2,1327,Holothuriidae,Actinopyga echinites,Actinopyga,echinites,cf.,594,,BNEC-001,Pacific Ocean,New Caledonia,New Caledonia,,"Noumea, Baie de Citron",-22.291226,166.4375086,NA,NA,,75% ethanol,"Paulay, G.",,1999,1,1,0,0,0,fringing reef,sand,0.5,5,meters,,,,Holothuroidea
81,2,959,Synaptidae,Opheodesoma,Opheodesoma,,,0,,BNEC-002,Pacific Ocean,New Caledonia,New Caledonia,,"Noumea, Baie de Citron",-22.291226,166.4375086,NA,NA,,75% ethanol,"Paulay, G.",,1999,11,1,0,0,0,fringing reef,sand,0.5,5,meters,,,,Holothuroidea
82,2,1569,Holothuriidae,Holothuria olivacea,Holothuria,olivacea,,673,,BTAI-001,,China,Taiwan,,"S Taiwan, Kenting Area, Shiangjianwan",21.9482503,120.7796129,NA,NA,,75% ethanol,"Paulay, G.",,2000,10,28,0,0,0,fore reef of nearshore fringing reef,under rocks,3,8,meters,,,,Holothuroidea
83,2,1570,Synaptidae,Opheodesoma grisea,Opheodesoma,grisea,?,0,,BTAI-013,,China,Taiwan,,"S Taiwan, Kenting Area, Houpinu",21.9482503,120.7796129,NA,NA,,75% ethanol,"Paulay, G.",,2000,10,28,0,0,0,rock and reef slope,,2,6,meters,,,,Holothuroidea
84,2,1574,Holothuriidae,Holothuria cinerascens,Holothuria,cinerascens,,673,,BTAI-013,,China,Taiwan,,"S Taiwan, Kenting Area, Houpinu",21.9482503,120.7796129,NA,NA,,75% ethanol,Gustav Paulay,,2000,10,16,0,0,0,rock and reef slope,,2,6,meters,,,,Holothuroidea
85,2,2473,,Dendrochirotida,Dendrochirotida,,,673,,BTAI-021,,China,Taiwan,,"N Taiwan, Tahsi Port",23.69781,120.960515,NA,NA,,75% ethanol,"Paulay, G.",,2000,11,3,0,0,0,,,NA,NA,,,,,Holothuroidea
