Counter,InCukes,Order-current,Family-current,Subfamily,Genus-orig,Subgenus-orig,Species-orig,Region: type,other regions,Not Description,Author,Year,ref,Genus-current,Subgenus-current,species-current,ESU,Comment on sp,ZooBank LSID,Available?,Valid?,Status (WoRMS),UnacceptedReason,InUse,Have/seq'd,Known from,NotValidorAvailRef,ValRef,synonymy by,generic reassignement,other refs,Have description?,Checked?,Notes-keep,Notes,pp.,fig.,type loc,Depth,Depth_2,unit,Type type,Repository,Cat No,type notes,Museum,Type of type,Catalog number,Source,Range,RangeSource,Depthrange1,Depthrange2,Depthunits,Depthsource,Smiley_old_AuthorityAndDate,Notes: ,"from Smiley-Pawson, extracted automatically by Alex 2006, getting edited by me in temporal order"
312,no,Apodida,Chiridotidae,,Chiridota,,variabilis,IWP,,,Semper,1867,1868a,Polycheira,,rufescens,,,,yes,no,unaccepted,,no,,,,,Clark 1907a,,,xerox,yes,,,20-21,"pl 5, fig 6 & 4 & 9-11 & 19; pl 6 fig 11; pl 8 fig 5-6","Mariveles, Bay of Manila",,,,,,,,,,,,,,,,,,"Semper, 1868",,
1949,yes,Apodida,Chiridotidae,,Psammothuria,,ganapati,IWP,,,Rao,1968,1968a,Psammothuria,,ganapati,,,,yes,yes,accepted,,,,,,no new records located,,,,pdf,yes,,,202-205,figs. 1-6,"India, Waltair, Lawson's Bay,  sand",intertidal,,,,,,,,,,,,,,,,,,,
1282,yes,Apodida,Chiridotidae,,Taeniogyrus,,allani,temp Aust,,,Joshua,1912,1912a,Rowedota,,allani,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,O'Loughlin & VandenSpiegel 2010a,,pdf,yes,,,79-81,pl. 3-4,Australia: Port Philipp Bay,5,10,fathoms,syntypes,,"NMV F45029,F45030, F450147 (slide)",type info from R&G,,,,,,,,,,,"Joshua, 1912",,
2370,yes,Apodida,Chiridotidae,,Trochodota,,epiphyka,temp Aust,,,O'Loughlin,2007,2007b,Rowedota,,epiphyka,,,,yes,yes,accepted,,,,,,,,O'Loughlin & VandenSpiegel 2010a,,pdf,yes,,,62-66,"fig 2b, 8b, e-f, 9","Victoria, Flinders, Mushroom Reef",,,,holotype,Museum Victoria,NMV F132690,,,,,,,,,,,,,,
2193,yes,Apodida,Chiridotidae,,Trochodota,,mira,IWP,,,Cherbonnier,1988,1988a,Rowedota,,mira,,,,yes,yes,accepted,,,,,,,,O'Loughlin & VandenSpiegel 2010a,,"pdf, scan",yes,,,276-277,fig 125 a-h,"Madagascar, Tulear",,,,holotype,MNHN,,,,,,,,,,,,,,,
2028,yes,Apodida,Chiridotidae,,Trochodota,,shepherdi,temp Aust,,,Rowe,1976,1976a,Rowedota,,shepherdi,,,,yes,yes,accepted,,,,,,,,O'Loughlin & VandenSpiegel 2010a,,pdf,yes,,,204-205,figs. 1-4,"S Australia, Spencer Gulf, Port Lincoln, Proper Bay, among algae growing on Pinna dolobrata",10,,m,holotype,Australian Museum,J9467,,,,,,,,,,,,"Rowe, 1976",,
2194,yes,Apodida,Chiridotidae,,Trochodota,,vivipara,IWP,,,Cherbonnier,1988,1988a,Rowedota,,vivipara,,,,yes,yes,accepted,,,,,,,,O'Loughlin & VandenSpiegel 2010a,,"pdf, scan",yes,,,274-276,fig 124 a-h,"Madagascar, Nosy Be",,,,holotype,MNHN,,,,,,,,,,,,,,,
2424,yes,Apodida,Chiridotidae,,Scoliorhapis,,biopearli,Antarctic,,,O'Loughlin & VandenSpiegel,2010,2010a,Scoliorhapis,,biopearli,,,,yes,yes,accepted,,yes,,,,post 2010,,,,pdf,yes,,,78,"fig. 1c, table 2, 3","South Shetland Is, 61.61°S 51.22°W, BAS stn EI–EBS–1",1544,,m,holotype,NMV,NMV F168633,,,,,,,,,,,,,,
1867,yes,Apodida,Chiridotidae,,Scoiiodota [sic],,lindbergi,WP-N,,,D'yakonov in D'yakonov et al.,1958,1958a,Scoliorhapis,,lindbergi,,,,yes,yes,accepted,,,,,,,,O'Loughlin & VandenSpiegel 2010a,,pdf,yes,,,377-378,fig. 14,check,7.5,22,m,,,,,,,,,,,,,,,"D'yakonov, 1958",,
1888,no,Apodida,Chiridotidae,,Scoliodotella,,uchidai,WP-N,,,Oguro,1961,1961a,Scoliorhapis,,lindbergi,,,,yes,no,unaccepted,,no,,,,,Inoue & Kijahara 2012a,O'Loughlin & VandenSpiegel 2010a,,pdf,yes,,,3-4,fig 1-7,"Cape Aikappu, Daikoku Island (both in Akkeshi Bay, Hokkaido, Japan), under stones at high tide mark",,,,syntypes,Akkeshi Marine Biological Sation of Hokkaido University,,,,,,,,,,,,,"Oguro, 1961",,
2425,yes,Apodida,Chiridotidae,,Scoliorhapis,,massini,Subantarctic,,,O'Loughlin & VandenSpiegel,2010,2010a,Scoliorhapis,,massini,,,,yes,yes,accepted,,yes,,,,post 2010,,,,pdf,yes,,,78,"fig. 1d, 9a,b, table 2, 3","Scotia Sea, Shag Rocks, 53.63°S, 40.91°W, BAS stn SR–EBS–4",206,,m,holotype,NMV,NMV F168635,,,,,,,,,,,,,,
1503,yes,Apodida,Chiridotidae,,Scoliodota,,théelii,IWP,,,Heding,1928,1928a,Scoliorhapis,,theelii,,,,yes,yes,accepted,,,,,,O'Loughlin & VandenSpiegel 2007a,,,,xerox,yes,,,319-322,fig 69,Port Jackson,3,5,fathoms,syntypes,ZMUC,,type repository from Rowe & Gates (1995),,,,,,,,,,,"Heding, 1928",,
438,yes,Apodida,Chiridotidae,,Chirodota [sic],,contorta,Antarctic,,,Ludwig,1875,1875a,Sigmodota,,contorta,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,O'Loughlin & VandenSpiegel 2010a,,"pdf, xerox",yes,,Chirodota [sic],80-81,fig 6,unknown,,,,syntypes,,,,,,,,,,,,,,"Ludwig, 1874",,
681,no,Apodida,Chiridotidae,,Chirodota [sic],,studerii,Subantarctic,,,Théel,1886,1886a,Sigmodota,,contorta,,,,yes,no,unaccepted,,no,,,,,O'Loughlin & VandenSpiegel 2007a,O'Loughlin & VandenSpiegel 2010a,,pdf,yes,"new name for Chiridota purpurea of Studer, 1877 non Lesson, 1830",,33,,"Kerguelen Island, Strait of Magellan, Elizabeth Island",,,,,,,,,,,,,,,,,,,,
1415,yes,Apodida,Chiridotidae,,Taeniogyrus,,dubius,IWP,,,Clark,1921,1921a,Sigmodota,,dubia,,,,yes,yes,accepted,,,,,,,,O'Loughlin & VandenSpiegel 2010a,,original,yes,"named in key, based on Fisher's (1907:775, pl. 82, fig. 2) Taeniogyrus sp.",,166,none,Hawaiian Islands,220,257,fm,,,,,,,,,,,,,,,"Clark, 1921",,
2322,yes,Apodida,Chiridotidae,,Taeniogyrus,,magnibaculus,Antarctic,,,Massin & Hétérier,2004,2004a,Sigmodota,,magnibacula,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,O'Loughlin & VandenSpiegel 2010a,,pdf,yes,,,441-442,fig. 1-2,"Weddell Sea (75o28.60'S–26o56.60'W), St 135,",226,,meters,holotype,IRSNB,IRSNB IG 30057,,,,,,,,,,,,,,
1557,yes,Apodida,Chiridotidae,,Taeniogyrus,,antarcticus,Antarctic,,,Heding,1931,1931a,Taeniogyrus,,antarcticus,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,,,pdf,yes,described in mid text,,689-690,,South Georgia,,,,,ZMH,,,,,,,,,,,,,,,
218,yes,Apodida,Chiridotidae,,Chiridota,,australiana,temp Aust,,,Stimpson,1855,1855a,Taeniogyrus,,australianus,,,,yes,yes,accepted,,yes,,,,"Rowe & Gates, 1995",,"Rowe & Gates, 1995",,pdf,yes,,,386,,"Australia, Port Jackson",,,,,,,,,,,,,,,,,,"Stimpson, 1856",,
1252,yes,Apodida,Chiridotidae,,Chirodota [sic],,benhami,NZ,,,Dendy,1909,1909a,Taeniogyrus,,benhami,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,O'Loughlin & VandenSpiegel 2010a,,pdf,yes,,,151-152,fig. 3a-l,"Auckland Islands, Masked Island, Carnley Harbour",,,,syntypes,,,,,,,,,,,,,,"Dendy, 1909",,
1380,yes,Apodida,Chiridotidae,,Taeniogyrus,,cidaridis,WP-N,,,Ohshima,1915,1915a,Taeniogyrus,,cidaridis,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,,,RP,yes,mentioned without description in Oshima 1914,,286,,"Albatross Station 4900, off Goto Islands, west of Kyushu",,,,,TIU,USNM 34186,"specimen also found in TIU (Inoue et al 2012a) “type specimens of most of the new species described by Ohshima … 1915 are no longer in existence; a few survive, and are deposited in ,,, NMNH) – Liao et al 2007: 37” see O’Loughlin & Ahearn 2005",USNM,syntype,34186,,,,,,,,"Ohshima, 1915",,
1523,yes,Apodida,Chiridotidae,,Taeniogyrus,,clavus,IWP,,,Heding,1928,1928a,Taeniogyrus,,clavus,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,,,xerox,yes,,,318-319,fig 68. 10-16,"Kei Islands, St. 41, 5deg28'40"" S 132deg28' E & Kei Islands, St. 46, 5deg47'20"" S 132deg13' E & Kei Islands, St. 50, 5deg34' S 132deg25' E",233,300,meters,syntypes,,,,,,,,,,,,,,"Heding, 1928",,
1772,yes,Apodida,Chiridotidae,,Taeniogyrus,,dayi,SAfr,,,Cherbonnier,1952,1952a,Taeniogyrus,,dayi,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,,,pdf,yes,,,500-501,"pl 48, fig 1-7","False Bay, Langebaan Lagoon",,,,syntypes,University of Cape Town,FB. 1051 B; FB. 1066; LB. 154,,,,,,,,,,,,"Cherbonnier, 1952",,
1465,yes,Apodida,Chiridotidae,,Trochodota,,Dendyi,NZ,,,Mortensen,1925,1925a,Taeniogyrus,,dendyi,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,,,pdf,yes,,,381-383,"fig 62, fig 63 a","Plimmerton, sandy beach at low water",,,,,,,,,,,,,,,,,,"Mortensen, 1925",,
1417,yes,Apodida,Chiridotidae,,Trochodota,,diasema,WP-N,,,Clark,1921,1921a,Taeniogyrus,,diasemus,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,O'Loughlin & VandenSpiegel 2010a,,pdf,yes,"named in key, based on Oshima's (1914: 478) T. dunedinensis",,166,,"off Misaki, Sagami Sea",60,,fathoms,holotype,,1846,type data from Ohshima 1814a,,,,,,,,,,,"Clark, 1921",,
562,yes,Apodida,Chiridotidae,,Chirodota [sic],,dunedinensis,NZ,,,Parker,1881,1881a,Taeniogyrus,,dunedinensis,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,,,pdf,yes,,,413,,Otago Harbour: littoral,,,,,,,,,,,,,,,,,,"Parker, 1881",,
1159,no,Apodida,Chiridotidae,,Chirodota,,geminifera,NZ,,,Dendy & Hindle,1907,1907a,Taeniogyrus,,dunedinensis,,,,yes,no,unaccepted,,no,,,,,Pawson 1963a,,,pdf,yes,,,112-113,"pl 14, fig 30","New Brighton Beach, near Christchurch",,,,holotype,,,,,,,,,,,,,,"Dendy & Hindle, 1907",,
1466,yes,Apodida,Chiridotidae,,Trochodota,,dunedinensis var. microurna,NZ,,,Mortensen,1925,1925a,Taeniogyrus,,dunedinensis microurna,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,,,381,"fig 59 b, fig 60 b",Moki Hinau,5,,fathoms,,,,,,,,,,,,,,,"Mortensen, 1925",,
1998,yes,Apodida,Chiridotidae,,Trochodota,,furcipraedita,EA-Med,,,Salvini-Plawen,1972,1972a,Taeniogyrus,,furcipraedita,,,,yes,yes,accepted,,,,,,,,assumed based on generic reassignment,,pdf,yes,,"interstitial, 5mm long",460-462,"fig 1, fig 3-4, fig 6","Italy, Livorno, Secche della Meloria",4,5,m,holotype,Vienna Museum,13117,type info from Jangoux & deRidder 1990,Vienna Museum,holotype,13117,"Jangoux & deRidder, 1990",,,,,,,"Salvini-Plawen, 1972",,
2022,yes,Apodida,Chiridotidae,,Trochodota,,havelockensis,IWP,,,Rao,1975,1975a,Taeniogyrus,,havelockensis,,,,yes,yes,accepted,,,,,,,,assumed based on generic reassignment,,pdf,yes,,"tiny (2.5-3mm), yet sexually mature, interstitial species",508-509,fig 1,"India, Adamans, Havelock Island, intertidal zone, 12°04'10""N 92°59'20""E",,,,holotype,,,,,,,,,,,,,,"Rao, 1975",,
1558,yes,Apodida,Chiridotidae,,Taeniogyrus,,heterosigmus,IWP,,,Heding,1931,1931a,Taeniogyrus,,heterosigmus,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,,,pdf,yes,,,691-692,text fig 16,"Koombana Bay, SW Australia",,,,holotype,ZMH,E 5032,,,,,,,,,,,,"Heding, 1931",,
2209,yes,Apodida,Chiridotidae,,Trochodota,,inexspectata,WP-N,,,Smirnov,1989,1989a,Taeniogyrus,,inexspectatus,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,O'Loughlin & VandenSpiegel 2010a,,pdf,yes,,,157-159,fig. 1-3,"Krilatka Station 245, Okhotsk coast, Simushir Island (Kuril Islands)",10,,m,,"Zoological Institute, Leningrad",1/22496,,,,,,,,,,,,,,
552,yes,Apodida,Chiridotidae,,Chirodota [sic],,japonica,WP-N,,,Marenzeller von,1881,1881a,Taeniogyrus,,japonicus,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,Trochodota? In Heding 1928,,pdf,yes,,,123-124,,"E coast of Eno-sima Island, Japan",,,,syntypes,Vienna Museum,"11592, 11646",type info from Jangoux & deRidder 1990,Vienna Museum,syntypes,"11592, 11646","Jangoux & deRidder, 1990",,,,,,,"von Marenzeller, 1881",,
1524,yes,Apodida,Chiridotidae,,Taeniogyrus,,keiensis,IWP,,,Heding,1928,1928a,Taeniogyrus,,keiensis,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,,,xerox,yes,,,313-315,fig 67. 1-8,"Kei Islands, St. 28, 5deg37' S 132deg34' E",400,,meters,syntypes,,,,,,,,,,,,,,"Heding, 1928",,
1418,yes,Apodida,Chiridotidae,,Trochodota,,maculata,IWP,,,Clark,1921,1921a,Taeniogyrus,,maculatus,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,O'Loughlin & VandenSpiegel 2010a,,original,yes,,,163,"pl 36, fig 14-21","Mer, Murray Islands, Torres Strait",,,,holotype,,MCZ 991,type number from Rowe & Gates (1995),MCZ,holotype,991,,,,,,,,"Clark, 1921",,
2274,yes,Apodida,Chiridotidae,,Trochodota,,neocaledonica,IWP,,,Smirnov,1997,1997a,Taeniogyrus,,neocaledonicus,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,O'Loughlin & VandenSpiegel 2010a,,pdf,yes,,,16-18,fig 1A-C,"New Caledonia, Loyalty Islands basin, stn KG201, 22°40'S 166°33'E",595,,meters,holotype,"MNHN, Paris",EcHh 8002,,,,,,,,,,,,,,
2368,yes,Apodida,Chiridotidae,,Taeniogyrus,,papillis,temp Aust,,,O'Loughlin,2007,2007b,Taeniogyrus,,papillis,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,,,pdf,yes,,,61,fig 5,"SE South Australia, Beachport, ""Salmon Hole,"" shallow sublittoral",,,,holotype,Museum Victoria,NMV F59195,,,,,,,,,,,,,,
2426,yes,Apodida,Chiridotidae,,Taeniogyrus,,prydzi,Antarctic,,,O'Loughlin & VandenSpiegel,2010,2010a,Taeniogyrus,,prydzi,,,,yes,yes,accepted,,yes,,,,post 2010,,,,pdf,yes,,,86-89,"fig. 15, table 2, 3","Eastern Antarctica, MacRobertson Shelf, stn ANARE AA 93–124, 66°55'S 62°32'E",113,,m,holotype,NMV,NMV F68690,,,,,,,,,,,,,,
77,yes,Apodida,Chiridotidae,,Holothuria,Fistularia,purpurea,WA-S - Subantarctic,,,Lesson,1830,1830a,Taeniogyrus,,purpureus,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,O'Loughlin & VandenSpiegel 2010a,,pdf,yes,,"Lesson text gives pl. 53, but caption and illustration are in Pl. 52",155-156,"pl. 52, fig. 2",Iles Malouines (=Falkland Islands),,,,,lost,,"types noted as lost by Cherbonnier, 1951",,,,,,,,,,,,,
1319,yes,Apodida,Chiridotidae,,Trochodota,,roebucki,temp Aust,,,Joshua,1914,1914a,Taeniogyrus,,roebucki,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,O'Loughlin & VandenSpiegel 2010a,,pdf,yes,,,9,"pl I, fig 4a-c",Torquay,,,,holotype,,NMV F45034,type info from R&G,,,,,,,,,,,"Joshua, 1914",,
1320,yes,Apodida,Chiridotidae,,Trochodota,,rosea,IWP,,,Ohshima,1914,1914a,Taeniogyrus,,roseus,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,,,pdf,yes,,,479,,"Down off Nami-no-Uyé temple (dead coral reef), Napha, Okinawa",,,,syntypes (2),?Science College Museum (unclear),1770,,,,,,,,,,,,"Ohshima, 1914",,
2369,yes,Apodida,Chiridotidae,,Taeniogyrus,,tantulus,temp Aust,,,O'Loughlin,2007,2007b,Taeniogyrus,,tantulus,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,,,pdf,yes,,,61-62,"fig 4c-d, 6, 7","Victoria, E Gippsland, Ninety Mile Beach, off McGaurans Beach, 800 m offshore, LVWSB:  SWOP 1, stn 7, Site 2",10,,m,holotype,Museum Victoria,NMV F59199,,,,,,,,,,,,,,
778,yes,Apodida,Chiridotidae,,Chiridota,,venusta,EA-Med,,,Semon,1887,1887a,Taeniogyrus,,venustus,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,,,pdf,yes,,,276-280,"pl. 9: fig. 1-2; pl. 10: fig. 8, 14, 15",Gulf of Naples (check),,,,,,,,,,,,,,,,,,"Semon, 1887",,
119,no,Apodida,Chiridotidae,,Aspidochir,,Mertensii,EP-N,,,Brandt,1835,1835a,unidentifiable,,unidentifiable,,,,yes,nomen dubium,nomen dubium,,no,,,Ludwig 1881b,,,,,pdf,yes,"type lost, Mertens' unpublished figure illustrates an apodid but not identifiable further, listed as ""Chirodota sive [or] Synapta"" by Ludwig (1881b)",,46,none,Insula Sitcha,,,,,,not designated,,,,,,,,,,,,,,
2070,yes,Apodida,Myriotrochidae,,Acanthotrochus,,antarcticus,Antarctic,,,Belyaev & Mironov,1981,1981a,Acanthotrochus,,antarcticus,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,,,pdf,yes,,,526-528,"testfig 1, 8-10; textfig 2; textfig 3, a-d; textfig 4; tab 3","Station 1320, S of Australia, 65°31'S 152°26.7'E",2780,2830,meters,holotype,Institute of Oceanography of USSR,XV-65-36,,,,,,,,,,,,"Belyaev & Mironov, 1981",,
544,yes,Apodida,Myriotrochidae,,Acanthotrochus,,mirabilis,Arctic,,,Danielssen & Koren,1881,1881a,Acanthotrochus,,mirabilis,,,,yes,yes,accepted,,yes,,,,Belyaev & Mironov 1982a,,,,pdf,yes,"redescrbed and illustrated in Danielssen & Koren, 1882a",,207,,"Station 283, 73° 47'N, 14° 21' E; Station 295, 71° 59' N, 11° 40' E; Station 312, 74° 54' N, 14° 53' E",658,1110,fathoms,syntypes,,,,,,,,,,,,,,"Danielssen & Koren, 1879",,
2071,yes,Apodida,Myriotrochidae,,Acanthotrochus,,multispinus,IWP,,,Belyaev & Mironov,1981,1981a,Acanthotrochus,,multispinus,,,,yes,yes,accepted,,yes,,,,Belyaev & Mironov 1982a,,,,pdf,yes,,,524-526,"textfig 1, 4-7; textfig 3 e & j; tab 2","Station 6802, Sulawesi Sea, 2°30.1'N 124°59.1'E",3320,,meters,holotype,Institute of Oceanography of USSR,XV-65-35,,,,,,,,,,,,"Belyaev & Mironov, 1981",,
1166,yes,Apodida,Myriotrochidae,,Anapta,,inermis,IWP,,,Fisher,1907,1907a,Achiridota,,inermis,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 1910a,,Clark 1907a,,RP,yes,,,730-731,"pl 73, fig 2; pl 82, fig 1","Station 3910, S coast fo Oahu Island",311,337,fathoms,holotype,,,,,,,,,,,,,,"Fisher, 1907",,
1580,yes,Apodida,Myriotrochidae,,Achiridota,,profunda,WA-N-Arctic,,,Heding,1935,1935a,Achiridota,,profunda,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 1910a,,,,pdf,yes,,,16-17,"pl 1, fig 9",St. 36 (61°50'N 56°21'W),2700,,meters,holotype,,,,,,,,,,,,,,"Heding, 1935",,
2419,yes,Apodida,Myriotrochidae,,Achiridota,,smirnovi,Antarctic,,,O'Loughlin & VandenSpiegel,2010,2010a,Achiridota,,smirnovi,,,,yes,yes,accepted,,yes,,,,post 2010,,,,pdf,yes,,,67-68,"fig. 2a, Table 2","Eastern Antarctica, Prydz Bay, Amery Depression, 68º06'S 72º15'E, ANARE stn AA93–60",788,,m,holotype,NMV,NMV F68687,,,,,,,,,,,,,,
2275,yes,Apodida,Myriotrochidae,,Myriotrochus,,antarcticus,Antarctic,,,Smirnov & Bardsley,1997,1997a,Myriotrochus,,antarcticus,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,,,pdf,yes,,,109-111,fig 1A-D,"E Antarctica, western MacRobertson Shelf, 66°55.33'S 62°32.16'E (ANARE RSV Aurora Australis stn AA93-124)",113,,meters,holotype,Musuem of Victoria,F69125,,,,,,,,,,,,,,
1396,yes,Apodida,Myriotrochidae,,Myriotrochus,,bathybius,EP,,,Clark,1920,1920a,Myriotrochus,Oligotrochus,bathybius,,,,yes,yes,accepted,,yes,,,,Belyaev & Mironov 1982a,,Smirnov 1999a (subgeneric),,original,yes,,,126-127,"pl 4, fig 3","Station 4647, Eastern Tropical Pacific, 4deg33'S 87deg42'30""W",2005,,fms,holotype,,,,USNM,holotype,E 10561,,,,,,,,"Clark, 1920",,
2124,yes,Apodida,Myriotrochidae,,Myriotrochus,,clarki,EA-N,,,Gage & Billett,1986,1986a,Myriotrochus,Oligotrochus,clarki,,,,yes,yes,accepted,,yes,,,,,,Smirnov 1999a (subgeneric),,pdf,yes,,,247-252,"fig 7D, 9D, 13-17, 18A; tab 5","Rockall Trough, ES197, 57°21'N 10°29'W",2220,,meters,holotype,BM(NH),1983.12.3.2,,,,,,“The northeast Atlantic (Rockall Trough and the Bay of Biscay) and the Mid-Atlantic Ridge”,Rogacheva et al 2013a,480,2907,m,Rogacheva et al 2013a,"Gage & Billett, 1986",,
1588,yes,Apodida,Myriotrochidae,,Myriotrochus,,eurycyclus,Arctic,,,Heding,1935,1935b,Myriotrochus,,eurycyclus,,,,yes,yes,accepted,,yes,,,,Belyaev & Mironov 1982a,,,,pdf,yes,,,229-233,textfig 1-16,"Kara-Sea, 70°23'N 64°00'E",158,,meters,syntypes,,,,MCZ,syntype,1992,,,,,,,,"Heding, 1935",,
1397,yes,Apodida,Myriotrochidae,,Myriotrochus,,giganteus,EP,,,Clark,1920,1920a,Myriotrochus,,giganteus,,,,yes,yes,accepted,,yes,,,,Belyaev & Mironov 1982a,,,,original,yes,,,127-128,"pl 4, fig 4","Station 4647, Eastern Tropical Pacific, 4deg33'S 87deg42'30""W",2005,,fms,syntypes?,,,,USNM,holotype,E 10562,,,,,,,,"Clark, 1920",,
2409,yes,Apodida,Myriotrochidae,,Myriotrochus,,hesperides,Antarctic,,,O'Loughlin & Manjón-Cabeza,2009,2009a,Myriotrochus,,hesperides,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,,,pdf,yes,,,9,fig 2e-f; tab 1,"Antarctic Peninsula, BENTART-2006, R/V Hesperides, stn PA41, 65.47149°S 69.0285°W",350,,meters,holotype,"National Museum of Natural Sciences, Madrid",MNCN 29.04/130,Museum Victoria:  NMV F161516,,,,,,,,,,,,,
1959,yes,Apodida,Myriotrochidae,,Myriotrochus,,longissimus,WP-N,,,Belyaev,1970,1970a,Myriotrochus,,longissimus,,,,yes,yes,accepted,,yes,,,,Belyaev & Mironov 1982a,,,,pdf,yes,,,471-474,"textfig 6-7; pl II, fig 3-4","Station 3227, Japan Trench, 38°02'N 143°57'E; Station 3457, meeting of Japan Trench & Kuril-Kamchatka Trench, 4117'N 145°50'E",7190 & 6475-,6571,meters,syntypes,,,,,,,,,,,,,,"Belyaev, 1970",,
2073,yes,Apodida,Myriotrochidae,,Myriotrochus,,macquoriensis,Antarctic,,,Belyaev & Mironov,1981,1981b,Myriotrochus,,macquariensis,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,,,pdf,yes,,"original spellling is macquoriensis, emended to macquariensis by O'Loughlin & VandenSpiegel 2010",169-170,textfig 4; pl 4 & 5; tab 3 & 4,"Station 1314, S of Maquarie Island, Hjort Trench, 59°58.5'S 158°07.1'E",3010,3030,meters,holotype,Institute of Oceanography of USSR,XV-65-30,,,,,,,,,,,,"Belyaev & Mironov, 1981",,
2330,yes,Apodida,Myriotrochidae,,Myriotrochus,Oligotrochus,meteorensis,EA,,,Bohn,2005,2005b,Myriotrochus,Oligotrochus,meteorensis,,,,yes,yes,accepted,,,,,,post 2000,,,,pdf,yes,,,34-40,"figs. 1a-m, 2","FS ""Meteor"", station M 36/99, Agassiz trawl 151, 21°36.2' N, 18°40.6' W",2786,2843,m,holotype,ZSM,ZSM 20043112,,,,,,,,,,,,,,
1960,yes,Apodida,Myriotrochidae,,Myriotrochus,,mitis,IWP,,,Belyaev,1970,1970a,Myriotrochus,,mitis,,,,yes,yes,accepted,,yes,,,,Belyaev & Mironov 1982a,,,,pdf,yes,,,476-478,"textfig 10; pl I, fig 8; tab 12","Station 3827, Kermadec Trench, 28°53'S 176°08'W",8928,9174,meters,syntypes,,,,,,,,,,,,,,"Belyaev, 1970",,
1357,yes,Apodida,Myriotrochidae,,Myriotrochus,,mitsukurii,WP-N,,,Ohshima,1915,1915a,Myriotrochus,,mitsukurii,,,,yes,yes,accepted,,yes,,,,Belyaev & Mironov 1982a,,,,RP,yes,,,287-288,"pl 11, fig 36","off the coast of Shiribeshi, Hokkaido",,,,,,USNM 34188,"“type specimens of most of the new species described by Ohshima … 1915 are no longer in existence; a few survive, and are deposited in ,,, NMNH) – Liao et al 2007: 37” see O’Loughlin & Ahearn 2005",USNM,syntype,34188,,,,,,,,"Ohshima, 1915",,
2291,yes,Apodida,Myriotrochidae,,Myriotrochus,Oligotrochus,neocaledonicus,IWP,,,Smirnov,1999,1999a,Myriotrochus,Oligotrochus,neocaledonicus,,,,yes,yes,accepted,,,,,,post 1990,,,,pdf,yes,,,18-22,"fig 2-3, 4A, 6D, 7; tab 1-3","New Caledonia, Loyalty Islands Basin, Expeditions Biogeocal, RV Coriolis, stn CP 232, 21°33'81-21°34'04S 166°19'84-166°27'18E",760,790,meters,holotype,MNHN,EcHh 8007,note: this cat number is duplicated in these two papers!,,,,,,,,,,,,,
2421,yes,Apodida,Myriotrochidae,,Myriotrochus,,nikiae,Antarctic,,,O'Loughlin & VandenSpiegel,2010,2010a,Myriotrochus,,nikiae,,,,yes,yes,accepted,,yes,,,,post 2010,,,,pdf,yes,,,69-71,"fig. 5b, table 2","Antarctica, Ross Sea, 71.23º S 174.44ºE, 2281–2283 m, NZ IPY–CAML stn TAN0802/171",2281,2283,m,holotype,NIWA,NIWA 37812,,,,,,,,,,,,,,
